Generated at 17:42 (eastern) on Wednesday 03 June 2026
Params: cond_upper_bound=None, cond_lower_bound=None
BSD(E,2) check: run (output verified)
Run took: 7 minutes 53 seconds

cremona_label,source,lmfdb_label
46a1, CLZ20, 46.a2
69a1, CLZ20, 69.a2
77c1, CLZ20, 77.c2
94a1, CLZ20, 94.a2
114b1, CLZ20, 114.a1
141b1, CLZ20, 141.b2
142c1, CLZ20, 142.b2
155b1, CLZ20, 155.b2
158e1, CLZ20, 158.e2
178b1, CLZ20, 178.a2
194a1, CLZ20, 194.a2
203c1, CLZ20, 203.c2
205c1, CLZ20, 205.c2
206a1, CLZ20, 206.a2
213a1, CLZ20, 213.a2
221a1, CLZ20, 221.a2
254b1, CLZ20, 254.c2
258b1, CLZ20, 258.a1
258g1, CLZ20, 258.g1
259a1, CLZ20, 259.a2
302b1, CLZ20, 302.a2
322c1, CLZ20, 322.d2
354a1, CLZ20, 354.e1
354e1, CLZ20, 354.f1
395b1, CLZ20, 395.c2
398a1, CLZ20, 398.a2
399c1, CLZ20, 399.b2
402c1, CLZ20, 402.d1
418a1, CLZ20, 418.b1
446c1, CLZ20, 446.d2
466a1, CLZ20, 466.a2
498a1, CLZ20, 498.b1
501a1, CLZ20, 501.a2
542a1, CLZ20, 542.b2
573a1, CLZ20, 573.b2
642a1, CLZ20, 642.a1
645b1, CLZ20, 645.e1
651b1, CLZ20, 651.d1
658b1, CLZ20, 658.c2
734a1, CLZ20, 734.a2
755c1, CLZ20, 755.b2
786i1, CLZ20, 786.k1
791b1, CLZ20, 791.b2
791a1, CLZ20, 791.c2
799a1, CLZ20, 799.b2
802b1, CLZ20, 802.a2
805b1, CLZ20, 805.b1
834d1, CLZ20, 834.f1
862c1, CLZ20, 862.e2
869c1, CLZ20, 869.b2
898c1, CLZ20, 898.d2
926a1, CLZ20, 926.a2
943a1, CLZ20, 943.a2
955a1, CLZ20, 955.a2
957a1, CLZ20, 957.a1
974c1, CLZ20, 974.c2
978b1, CLZ20, 978.d1
994e1, CLZ20, 994.f2
995a1, CLZ20, 995.b2
1005a1, CLZ20, 1005.b1
1006b1, CLZ20, 1006.a2
1011b1, CLZ20, 1011.a2
1023a1, CLZ20, 1023.a2
1074b1, CLZ20, 1074.b1
1074e1, CLZ20, 1074.e1
1077b1, CLZ20, 1077.c2
1106b1, CLZ20, 1106.c2
1195a1, CLZ20, 1195.b2
1202a1, CLZ20, 1202.a2
1221c1, CLZ20, 1221.b2
1239a1, CLZ20, 1239.a2
1245b1, CLZ20, 1245.a1
1253a1, CLZ20, 1253.a2
1266b1, CLZ20, 1266.b1
1337a1, CLZ20, 1337.a2
1339b1, CLZ20, 1339.b2
1353b1, CLZ20, 1353.a1
