curve_label,lmfdb_label,source,conductor,has_isogeny_3,has_isogeny_5,has_isogeny_7,isogeny_set_357,isogeny_degrees,a3,abs_a3_eq_3,failure_class,good_reduction_at_3,projective_point_count_at_3,nonsingular_projective_point_count_at_3,ecdata_aplist_a3_token
14a1,14.a6,CLZ20,14,True,False,False,3,1;2;3;6,-2,False,ISOGENY_ONLY,True,6,6,-2
26a1,26.a2,Zha16_no_2_tors,26,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
26b1,26.b2,Zha16_no_2_tors,26,False,False,True,7,1;7,-3,True,BOTH,True,7,7,-3
34a1,34.a4,CLZ20,34,True,False,False,3,1;2;3;6,-2,False,ISOGENY_ONLY,True,6,6,-2
35a1,35.a3,Zha16_no_2_tors,35,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
38a1,38.a3,Zha16_no_2_tors,38,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
38b1,38.b2,Zha16_no_2_tors,38,False,True,False,5,1;5,-1,False,ISOGENY_ONLY,True,5,5,-1
66c1,66.c3,CLZ20,66,False,True,False,5,1;2;5;10,1,False,ISOGENY_ONLY,False,3,2,-
106a1,106.c2,Zha16_no_2_tors,106,True,False,False,3,1;3,-2,False,ISOGENY_ONLY,True,6,6,-2
110b1,110.c1,Zha16_no_2_tors,110,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
110c1,110.a1,Zha16_no_2_tors,110,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
142d1,142.e2,Zha16_no_2_tors,142,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
142e1,142.c1,Zha16_no_2_tors,142,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
170c1,170.e2,Zha16_no_2_tors,170,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
170d1,170.c1,Zha16_no_2_tors,170,True,False,False,3,1;3,1,False,ISOGENY_ONLY,True,3,3,1
170e1,170.d1,Zha16_no_2_tors,170,False,False,False,,1,3,True,A3_ONLY,True,1,1,3
