curve_label,lmfdb_label,source,conductor,old_twist_count,new_twist_count,removed_twist_count,added_twist_count,net_delta,algorithm2_class
46a1,46.a2,CLZ20,46,7,7,0,0,0,UNCHANGED
69a1,69.a2,CLZ20,69,1,1,0,0,0,UNCHANGED
77c1,77.c2,CLZ20,77,2,2,0,0,0,UNCHANGED
94a1,94.a2,CLZ20,94,2,2,0,0,0,UNCHANGED
106d1,106.b1,Zha16_no_2_tors,106,21,21,0,0,0,UNCHANGED
114b1,114.a1,CLZ20,114,1,1,0,0,0,UNCHANGED
115a1,115.a1,Zha16_no_2_tors,115,18,18,0,0,0,UNCHANGED
118c1,118.d1,Zha16_no_2_tors,118,19,19,0,0,0,UNCHANGED
118d1,118.b1,Zha16_no_2_tors,118,19,19,0,0,0,UNCHANGED
141b1,141.b2,CLZ20,141,1,1,0,0,0,UNCHANGED
141e1,141.e1,Zha16_no_2_tors,141,17,17,0,0,0,UNCHANGED
142c1,142.b2,CLZ20,142,2,2,0,0,0,UNCHANGED
155b1,155.b2,CLZ20,155,1,1,0,0,0,UNCHANGED
158e1,158.e2,CLZ20,158,1,1,0,0,0,UNCHANGED
174c1,174.d1,Zha16_no_2_tors,174,12,12,0,0,0,UNCHANGED
174e1,174.a1,Zha16_no_2_tors,174,12,12,0,0,0,UNCHANGED
178b1,178.a2,CLZ20,178,2,2,0,0,0,UNCHANGED
182c1,182.a1,Zha16_no_2_tors,182,10,8,2,0,-2,SHRINK_ONLY
186a1,186.a1,Zha16_no_2_tors,186,9,9,0,0,0,UNCHANGED
186c1,186.b1,Zha16_no_2_tors,186,9,9,0,0,0,UNCHANGED
187b1,187.b1,Zha16_no_2_tors,187,18,18,0,0,0,UNCHANGED
194a1,194.a2,CLZ20,194,8,8,0,0,0,UNCHANGED
195b1,195.d1,Zha16_no_2_tors,195,6,6,0,0,0,UNCHANGED
195c1,195.c1,Zha16_no_2_tors,195,6,6,0,0,0,UNCHANGED
195d1,195.b1,Zha16_no_2_tors,195,6,6,0,0,0,UNCHANGED
202a1,202.a1,Zha16_no_2_tors,202,16,16,0,0,0,UNCHANGED
203c1,203.c2,CLZ20,203,1,1,0,0,0,UNCHANGED
205c1,205.c2,CLZ20,205,2,2,0,0,0,UNCHANGED
206a1,206.a2,CLZ20,206,8,8,0,0,0,UNCHANGED
213a1,213.a2,CLZ20,213,1,1,0,0,0,UNCHANGED
221a1,221.a2,CLZ20,221,4,4,0,0,0,UNCHANGED
222b1,222.d1,Zha16_no_2_tors,222,8,8,0,0,0,UNCHANGED
222d1,222.c1,Zha16_no_2_tors,222,8,8,0,0,0,UNCHANGED
222e1,222.a1,Zha16_no_2_tors,222,8,8,0,0,0,UNCHANGED
235b1,235.a1,Zha16_no_2_tors,235,27,20,7,0,-7,SHRINK_ONLY
235c1,235.c1,Zha16_no_2_tors,235,18,18,0,0,0,UNCHANGED
246a1,246.e1,Zha16_no_2_tors,246,8,8,0,0,0,UNCHANGED
246g1,246.b1,Zha16_no_2_tors,246,8,8,0,0,0,UNCHANGED
254b1,254.c2,CLZ20,254,1,1,0,0,0,UNCHANGED
258b1,258.a1,CLZ20,258,1,1,0,0,0,UNCHANGED
258g1,258.g1,CLZ20,258,1,1,0,0,0,UNCHANGED
259a1,259.a2,CLZ20,259,4,4,0,0,0,UNCHANGED
267b1,267.a1,Zha16_no_2_tors,267,16,16,0,0,0,UNCHANGED
286e1,286.e1,Zha16_no_2_tors,286,8,8,0,0,0,UNCHANGED
286f1,286.f1,Zha16_no_2_tors,286,8,8,0,0,0,UNCHANGED
291a1,291.a1,Zha16_no_2_tors,291,20,20,0,0,0,UNCHANGED
291d1,291.d1,Zha16_no_2_tors,291,20,20,0,0,0,UNCHANGED
302b1,302.a2,CLZ20,302,1,1,0,0,0,UNCHANGED
318a1,318.e1,Zha16_no_2_tors,318,8,8,0,0,0,UNCHANGED
318e1,318.b1,Zha16_no_2_tors,318,8,8,0,0,0,UNCHANGED
322c1,322.d2,CLZ20,322,1,1,0,0,0,UNCHANGED
329a1,329.a1,Zha16_no_2_tors,329,24,16,8,0,-8,SHRINK_ONLY
334a1,334.a1,Zha16_no_2_tors,334,23,23,0,0,0,UNCHANGED
339b1,339.c1,Zha16_no_2_tors,339,15,15,0,0,0,UNCHANGED
346a1,346.b1,Zha16_no_2_tors,346,22,15,7,0,-7,SHRINK_ONLY
354a1,354.e1,CLZ20,354,2,2,0,0,0,UNCHANGED
354e1,354.f1,CLZ20,354,3,3,0,0,0,UNCHANGED
358a1,358.a1,Zha16_no_2_tors,358,16,16,0,0,0,UNCHANGED
366c1,366.c1,Zha16_no_2_tors,366,6,6,0,0,0,UNCHANGED
366d1,366.e1,Zha16_no_2_tors,366,6,6,0,0,0,UNCHANGED
370b1,370.c1,Zha16_no_2_tors,370,8,8,0,0,0,UNCHANGED
371b1,371.b1,Zha16_no_2_tors,371,17,17,0,0,0,UNCHANGED
381b1,381.b1,Zha16_no_2_tors,381,20,20,0,0,0,UNCHANGED
395b1,395.c2,CLZ20,395,1,1,0,0,0,UNCHANGED
398a1,398.a2,CLZ20,398,1,1,0,0,0,UNCHANGED
399c1,399.b2,CLZ20,399,2,2,0,0,0,UNCHANGED
402c1,402.d1,CLZ20,402,1,1,0,0,0,UNCHANGED
417a1,417.a1,Zha16_no_2_tors,417,16,16,0,0,0,UNCHANGED
418a1,418.b1,CLZ20,418,1,1,0,0,0,UNCHANGED
427a1,427.b1,Zha16_no_2_tors,427,13,13,0,0,0,UNCHANGED
435b1,435.b1,Zha16_no_2_tors,435,7,7,0,0,0,UNCHANGED
446c1,446.d2,CLZ20,446,2,2,0,0,0,UNCHANGED
466a1,466.a2,CLZ20,466,1,1,0,0,0,UNCHANGED
483a1,483.b1,Zha16_no_2_tors,483,6,6,0,0,0,UNCHANGED
483b1,483.a1,Zha16_no_2_tors,483,6,6,0,0,0,UNCHANGED
493a1,493.b1,Zha16_no_2_tors,493,21,21,0,0,0,UNCHANGED
498a1,498.b1,CLZ20,498,1,1,0,0,0,UNCHANGED
501a1,501.a2,CLZ20,501,5,5,0,0,0,UNCHANGED
506b1,506.c1,Zha16_no_2_tors,506,8,8,0,0,0,UNCHANGED
537a1,537.d1,Zha16_no_2_tors,537,15,15,0,0,0,UNCHANGED
537d1,537.e1,Zha16_no_2_tors,537,15,15,0,0,0,UNCHANGED
542a1,542.b2,CLZ20,542,1,1,0,0,0,UNCHANGED
546a1,546.a1,Zha16_no_2_tors,546,3,3,0,0,0,UNCHANGED
546b1,546.c1,Zha16_no_2_tors,546,3,3,0,0,0,UNCHANGED
546e1,546.e1,Zha16_no_2_tors,546,3,3,0,0,0,UNCHANGED
555a1,555.a1,Zha16_no_2_tors,555,5,5,0,0,0,UNCHANGED
565a1,565.a1,Zha16_no_2_tors,565,18,18,0,0,0,UNCHANGED
566b1,566.b1,Zha16_no_2_tors,566,22,16,6,0,-6,SHRINK_ONLY
573a1,573.b2,CLZ20,573,1,1,0,0,0,UNCHANGED
573b1,573.c1,Zha16_no_2_tors,573,18,18,0,0,0,UNCHANGED
579a1,579.b1,Zha16_no_2_tors,579,19,19,0,0,0,UNCHANGED
586a1,586.a1,Zha16_no_2_tors,586,19,19,0,0,0,UNCHANGED
595a1,595.a1,Zha16_no_2_tors,595,7,7,0,0,0,UNCHANGED
595b1,595.b1,Zha16_no_2_tors,595,7,7,0,0,0,UNCHANGED
595c1,595.c1,Zha16_no_2_tors,595,7,7,0,0,0,UNCHANGED
602b1,602.a1,Zha16_no_2_tors,602,11,9,2,0,-2,SHRINK_ONLY
606d1,606.d1,Zha16_no_2_tors,606,5,5,0,0,0,UNCHANGED
610a1,610.a1,Zha16_no_2_tors,610,9,9,0,0,0,UNCHANGED
626b1,626.b1,Zha16_no_2_tors,626,24,17,7,0,-7,SHRINK_ONLY
627a1,627.b1,Zha16_no_2_tors,627,8,8,0,0,0,UNCHANGED
642a1,642.a1,CLZ20,642,1,1,0,0,0,UNCHANGED
645b1,645.e1,CLZ20,645,1,1,0,0,0,UNCHANGED
651b1,651.d1,CLZ20,651,2,2,0,0,0,UNCHANGED
658b1,658.c2,CLZ20,658,1,1,0,0,0,UNCHANGED
699a1,699.a1,Zha16_no_2_tors,699,17,17,0,0,0,UNCHANGED
714b1,714.b1,Zha16_no_2_tors,714,2,2,0,0,0,UNCHANGED
714c1,714.c1,Zha16_no_2_tors,714,2,2,0,0,0,UNCHANGED
714e1,714.g1,Zha16_no_2_tors,714,2,2,0,0,0,UNCHANGED
714h1,714.h1,Zha16_no_2_tors,714,2,2,0,0,0,UNCHANGED
718a1,718.b1,Zha16_no_2_tors,718,15,15,0,0,0,UNCHANGED
730d1,730.c1,Zha16_no_2_tors,730,11,8,3,0,-3,SHRINK_ONLY
730e1,730.f1,Zha16_no_2_tors,730,6,6,0,0,0,UNCHANGED
730h1,730.h1,Zha16_no_2_tors,730,6,6,0,0,0,UNCHANGED
734a1,734.a2,CLZ20,734,1,1,0,0,0,UNCHANGED
741a1,741.c1,Zha16_no_2_tors,741,7,7,0,0,0,UNCHANGED
741b1,741.b1,Zha16_no_2_tors,741,7,7,0,0,0,UNCHANGED
741c1,741.d1,Zha16_no_2_tors,741,7,7,0,0,0,UNCHANGED
755c1,755.b2,CLZ20,755,2,2,0,0,0,UNCHANGED
