curve_label,lmfdb_label,source,conductor,old_twist_count,new_twist_count,removed_twist_count,added_twist_count,net_delta,algorithm2_class
66166b1,66166.b1,Zha16_no_2_tors,66166,45,29,16,0,-16,SHRINK_ONLY
104474a1,104474.a1,Zha16_no_2_tors,104474,42,27,15,0,-15,SHRINK_ONLY
156854b1,156854.b1,Zha16_no_2_tors,156854,36,21,15,0,-15,SHRINK_ONLY
302606a1,302606.a1,Zha16_no_2_tors,302606,36,21,15,0,-15,SHRINK_ONLY
10349a1,10349.b1,Zha16_no_2_tors,10349,36,22,14,0,-14,SHRINK_ONLY
39731a1,39731.a1,Zha16_no_2_tors,39731,44,30,14,0,-14,SHRINK_ONLY
41869a1,41869.a1,Zha16_no_2_tors,41869,32,18,14,0,-14,SHRINK_ONLY
62102a1,62102.a1,Zha16_no_2_tors,62102,33,19,14,0,-14,SHRINK_ONLY
69074a1,69074.a1,Zha16_no_2_tors,69074,41,27,14,0,-14,SHRINK_ONLY
77579b1,77579.a1,Zha16_no_2_tors,77579,38,24,14,0,-14,SHRINK_ONLY
121211a1,121211.a1,Zha16_no_2_tors,121211,41,27,14,0,-14,SHRINK_ONLY
206509a1,206509.a1,Zha16_no_2_tors,206509,37,23,14,0,-14,SHRINK_ONLY
274154a1,274154.a1,Zha16_no_2_tors,274154,33,19,14,0,-14,SHRINK_ONLY
21161a1,21161.a1,Zha16_no_2_tors,21161,37,24,13,0,-13,SHRINK_ONLY
37166a1,37166.a1,Zha16_no_2_tors,37166,39,26,13,0,-13,SHRINK_ONLY
63619a1,63619.a1,Zha16_no_2_tors,63619,33,20,13,0,-13,SHRINK_ONLY
118106a1,118106.a1,Zha16_no_2_tors,118106,35,22,13,0,-13,SHRINK_ONLY
126986a1,126986.a1,Zha16_no_2_tors,126986,39,26,13,0,-13,SHRINK_ONLY
157286b1,157286.e1,Zha16_no_2_tors,157286,38,25,13,0,-13,SHRINK_ONLY
166981a1,166981.a1,Zha16_no_2_tors,166981,26,13,13,0,-13,SHRINK_ONLY
181859a1,181859.a1,Zha16_no_2_tors,181859,39,26,13,0,-13,SHRINK_ONLY
186974a1,186974.a1,Zha16_no_2_tors,186974,25,12,13,0,-13,SHRINK_ONLY
193121a1,193121.a1,Zha16_no_2_tors,193121,38,25,13,0,-13,SHRINK_ONLY
218726b1,218726.a1,Zha16_no_2_tors,218726,35,22,13,0,-13,SHRINK_ONLY
229651b1,229651.b1,Zha16_no_2_tors,229651,33,20,13,0,-13,SHRINK_ONLY
241591a1,241591.a1,Zha16_no_2_tors,241591,34,21,13,0,-13,SHRINK_ONLY
277645a1,277645.a1,Zha16_no_2_tors,277645,37,24,13,0,-13,SHRINK_ONLY
312061a1,312061.a1,Zha16_no_2_tors,312061,38,25,13,0,-13,SHRINK_ONLY
327611a1,327611.a1,Zha16_no_2_tors,327611,36,23,13,0,-13,SHRINK_ONLY
349189a1,349189.a1,Zha16_no_2_tors,349189,40,27,13,0,-13,SHRINK_ONLY
349571a1,349571.a1,Zha16_no_2_tors,349571,37,24,13,0,-13,SHRINK_ONLY
393326a1,393326.a1,Zha16_no_2_tors,393326,36,23,13,0,-13,SHRINK_ONLY
419434a1,419434.a1,Zha16_no_2_tors,419434,41,28,13,0,-13,SHRINK_ONLY
471661a1,471661.a1,Zha16_no_2_tors,471661,35,22,13,0,-13,SHRINK_ONLY
8489a1,8489.a1,Zha16_no_2_tors,8489,37,25,12,0,-12,SHRINK_ONLY
27349b1,27349.a1,Zha16_no_2_tors,27349,27,15,12,0,-12,SHRINK_ONLY
34766a1,34766.a1,Zha16_no_2_tors,34766,38,26,12,0,-12,SHRINK_ONLY
38362a1,38362.a1,Zha16_no_2_tors,38362,24,12,12,0,-12,SHRINK_ONLY
44315a1,44315.a1,Zha16_no_2_tors,44315,34,22,12,0,-12,SHRINK_ONLY
44558a1,44558.a1,Zha16_no_2_tors,44558,30,18,12,0,-12,SHRINK_ONLY
51571b1,51571.d1,Zha16_no_2_tors,51571,39,27,12,0,-12,SHRINK_ONLY
115085a1,115085.a1,Zha16_no_2_tors,115085,33,21,12,0,-12,SHRINK_ONLY
150661a1,150661.a1,Zha16_no_2_tors,150661,31,19,12,0,-12,SHRINK_ONLY
160891a1,160891.a1,Zha16_no_2_tors,160891,32,20,12,0,-12,SHRINK_ONLY
191834c1,191834.a1,Zha16_no_2_tors,191834,36,24,12,0,-12,SHRINK_ONLY
209915a1,209915.a1,Zha16_no_2_tors,209915,36,24,12,0,-12,SHRINK_ONLY
249901a1,249901.a1,Zha16_no_2_tors,249901,32,20,12,0,-12,SHRINK_ONLY
251369a1,251369.a1,Zha16_no_2_tors,251369,32,20,12,0,-12,SHRINK_ONLY
278821a1,278821.a1,Zha16_no_2_tors,278821,30,18,12,0,-12,SHRINK_ONLY
288709a1,288709.a1,Zha16_no_2_tors,288709,36,24,12,0,-12,SHRINK_ONLY
