curve_label,status,old_index,new_index,old_source,new_source,old_lmfdb_label,new_lmfdb_label
14a1,REMOVED,1,,CLZ20,,14.a6,
26a1,REMOVED,3748,,Zha16_no_2_tors,,26.a2,
26b1,REMOVED,3749,,Zha16_no_2_tors,,26.b2,
34a1,REMOVED,2,,CLZ20,,34.a4,
35a1,REMOVED,3750,,Zha16_no_2_tors,,35.a3,
38a1,REMOVED,3751,,Zha16_no_2_tors,,38.a3,
38b1,REMOVED,3752,,Zha16_no_2_tors,,38.b2,
66c1,REMOVED,4,,CLZ20,,66.c3,
106a1,REMOVED,3754,,Zha16_no_2_tors,,106.c2,
110b1,REMOVED,3756,,Zha16_no_2_tors,,110.c1,
110c1,REMOVED,3755,,Zha16_no_2_tors,,110.a1,
142d1,REMOVED,3762,,Zha16_no_2_tors,,142.e2,
142e1,REMOVED,3761,,Zha16_no_2_tors,,142.c1,
170c1,REMOVED,3765,,Zha16_no_2_tors,,170.e2,
170d1,REMOVED,3763,,Zha16_no_2_tors,,170.c1,
170e1,REMOVED,3764,,Zha16_no_2_tors,,170.d1,
174b1,REMOVED,3768,,Zha16_no_2_tors,,174.e2,
182b1,REMOVED,3771,,Zha16_no_2_tors,,182.d3,
182d1,REMOVED,3772,,Zha16_no_2_tors,,182.e1,
182e1,REMOVED,3770,,Zha16_no_2_tors,,182.b1,
186b1,REMOVED,3775,,Zha16_no_2_tors,,186.c2,
203a1,REMOVED,3781,,Zha16_no_2_tors,,203.a2,
246b1,REMOVED,3789,,Zha16_no_2_tors,,246.g2,
286a1,REMOVED,3791,,Zha16_no_2_tors,,286.a1,
323a1,REMOVED,3798,,Zha16_no_2_tors,,323.a1,
326c1,REMOVED,3799,,Zha16_no_2_tors,,326.a2,
355a1,REMOVED,3804,,Zha16_no_2_tors,,355.a2,
358b1,REMOVED,3806,,Zha16_no_2_tors,,358.b1,
366b1,REMOVED,3809,,Zha16_no_2_tors,,366.f2,
370c1,REMOVED,3810,,Zha16_no_2_tors,,370.a2,
426a1,REMOVED,3815,,Zha16_no_2_tors,,426.c2,
434b1,REMOVED,3818,,Zha16_no_2_tors,,434.d2,
434e1,REMOVED,3817,,Zha16_no_2_tors,,434.b1,
485a1,REMOVED,3822,,Zha16_no_2_tors,,485.a2,
506c1,REMOVED,3824,,Zha16_no_2_tors,,506.b2,
574e1,REMOVED,3835,,Zha16_no_2_tors,,574.f1,
574j1,REMOVED,3836,,Zha16_no_2_tors,,574.i2,
602c1,REMOVED,3843,,Zha16_no_2_tors,,602.c1,
606f1,REMOVED,3845,,Zha16_no_2_tors,,606.f1,
611a1,REMOVED,3847,,Zha16_no_2_tors,,611.a1,
730b1,REMOVED,3856,,Zha16_no_2_tors,,730.b2,
730c1,REMOVED,3859,,Zha16_no_2_tors,,730.g1,
730k1,REMOVED,3861,,Zha16_no_2_tors,,730.k2,
755e1,REMOVED,3867,,Zha16_no_2_tors,,755.f1,
755f1,REMOVED,3865,,Zha16_no_2_tors,,755.d1,
782d1,REMOVED,3872,,Zha16_no_2_tors,,782.e1,
786m1,REMOVED,3874,,Zha16_no_2_tors,,786.m2,
874a1,REMOVED,3881,,Zha16_no_2_tors,,874.c1,
874b1,REMOVED,3880,,Zha16_no_2_tors,,874.a1,
874f1,REMOVED,3882,,Zha16_no_2_tors,,874.f2,
895b1,REMOVED,3884,,Zha16_no_2_tors,,895.b1,
901c1,REMOVED,3888,,Zha16_no_2_tors,,901.e2,
923a1,REMOVED,3897,,Zha16_no_2_tors,,923.a1,
934b1,REMOVED,3902,,Zha16_no_2_tors,,934.b2,
934c1,REMOVED,3903,,Zha16_no_2_tors,,934.c1,
974d1,REMOVED,3913,,Zha16_no_2_tors,,974.d1,
989a1,REMOVED,3920,,Zha16_no_2_tors,,989.a1,
1042c1,REMOVED,3925,,Zha16_no_2_tors,,1042.b2,
1070b1,REMOVED,3929,,Zha16_no_2_tors,,1070.b1,
1073b1,REMOVED,3931,,Zha16_no_2_tors,,1073.b1,
1090e1,REMOVED,3937,,Zha16_no_2_tors,,1090.i1,
1090h1,REMOVED,3935,,Zha16_no_2_tors,,1090.f2,
1106c1,REMOVED,3939,,Zha16_no_2_tors,,1106.d1,
1118a1,REMOVED,3941,,Zha16_no_2_tors,,1118.a2,
1169a1,REMOVED,3945,,Zha16_no_2_tors,,1169.a1,
1230k1,REMOVED,3957,,Zha16_no_2_tors,,1230.k2,
1254k1,REMOVED,3963,,Zha16_no_2_tors,,1254.j2,
1342c1,REMOVED,3972,,Zha16_no_2_tors,,1342.b3,
1342d1,REMOVED,3973,,Zha16_no_2_tors,,1342.d1,
1379a1,REMOVED,3975,,Zha16_no_2_tors,,1379.a1,
1426b1,REMOVED,85,,CLZ20,,1426.b4,
1442c1,REMOVED,3980,,Zha16_no_2_tors,,1442.d1,
1490b1,REMOVED,3986,,Zha16_no_2_tors,,1490.c1,
1495b1,REMOVED,3988,,Zha16_no_2_tors,,1495.b1,
1546a1,REMOVED,3998,,Zha16_no_2_tors,,1546.a1,
1595b1,REMOVED,4001,,Zha16_no_2_tors,,1595.c1,
1726b1,REMOVED,4012,,Zha16_no_2_tors,,1726.b2,
