curve_label,status,old_index,new_index,old_source,new_source,old_lmfdb_label,new_lmfdb_label
46a1,STABLE,3,1,CLZ20,CLZ20,46.a2,46.a2
69a1,STABLE,5,2,CLZ20,CLZ20,69.a2,69.a2
77c1,STABLE,6,3,CLZ20,CLZ20,77.c2,77.c2
94a1,STABLE,7,4,CLZ20,CLZ20,94.a2,94.a2
106d1,STABLE,3753,3744,Zha16_no_2_tors,Zha16_no_2_tors,106.b1,106.b1
114b1,STABLE,8,5,CLZ20,CLZ20,114.a1,114.a1
115a1,STABLE,3757,3745,Zha16_no_2_tors,Zha16_no_2_tors,115.a1,115.a1
118c1,STABLE,3759,3747,Zha16_no_2_tors,Zha16_no_2_tors,118.d1,118.d1
118d1,STABLE,3758,3746,Zha16_no_2_tors,Zha16_no_2_tors,118.b1,118.b1
141b1,STABLE,9,6,CLZ20,CLZ20,141.b2,141.b2
141e1,STABLE,3760,3748,Zha16_no_2_tors,Zha16_no_2_tors,141.e1,141.e1
142c1,STABLE,10,7,CLZ20,CLZ20,142.b2,142.b2
155b1,STABLE,11,8,CLZ20,CLZ20,155.b2,155.b2
158e1,STABLE,12,9,CLZ20,CLZ20,158.e2,158.e2
174c1,STABLE,3767,3750,Zha16_no_2_tors,Zha16_no_2_tors,174.d1,174.d1
174e1,STABLE,3766,3749,Zha16_no_2_tors,Zha16_no_2_tors,174.a1,174.a1
178b1,STABLE,13,10,CLZ20,CLZ20,178.a2,178.a2
182c1,STABLE,3769,3751,Zha16_no_2_tors,Zha16_no_2_tors,182.a1,182.a1
186a1,STABLE,3773,3752,Zha16_no_2_tors,Zha16_no_2_tors,186.a1,186.a1
186c1,STABLE,3774,3753,Zha16_no_2_tors,Zha16_no_2_tors,186.b1,186.b1
187b1,STABLE,3776,3754,Zha16_no_2_tors,Zha16_no_2_tors,187.b1,187.b1
194a1,STABLE,14,11,CLZ20,CLZ20,194.a2,194.a2
195b1,STABLE,3779,3757,Zha16_no_2_tors,Zha16_no_2_tors,195.d1,195.d1
195c1,STABLE,3778,3756,Zha16_no_2_tors,Zha16_no_2_tors,195.c1,195.c1
195d1,STABLE,3777,3755,Zha16_no_2_tors,Zha16_no_2_tors,195.b1,195.b1
202a1,STABLE,3780,3758,Zha16_no_2_tors,Zha16_no_2_tors,202.a1,202.a1
203c1,STABLE,15,12,CLZ20,CLZ20,203.c2,203.c2
205c1,STABLE,16,13,CLZ20,CLZ20,205.c2,205.c2
206a1,STABLE,17,14,CLZ20,CLZ20,206.a2,206.a2
213a1,STABLE,18,15,CLZ20,CLZ20,213.a2,213.a2
221a1,STABLE,19,16,CLZ20,CLZ20,221.a2,221.a2
222b1,STABLE,3784,3761,Zha16_no_2_tors,Zha16_no_2_tors,222.d1,222.d1
222d1,STABLE,3783,3760,Zha16_no_2_tors,Zha16_no_2_tors,222.c1,222.c1
222e1,STABLE,3782,3759,Zha16_no_2_tors,Zha16_no_2_tors,222.a1,222.a1
235b1,STABLE,3785,3762,Zha16_no_2_tors,Zha16_no_2_tors,235.a1,235.a1
235c1,STABLE,3786,3763,Zha16_no_2_tors,Zha16_no_2_tors,235.c1,235.c1
246a1,STABLE,3788,3765,Zha16_no_2_tors,Zha16_no_2_tors,246.e1,246.e1
246g1,STABLE,3787,3764,Zha16_no_2_tors,Zha16_no_2_tors,246.b1,246.b1
254b1,STABLE,20,17,CLZ20,CLZ20,254.c2,254.c2
258b1,STABLE,21,18,CLZ20,CLZ20,258.a1,258.a1
258g1,STABLE,22,19,CLZ20,CLZ20,258.g1,258.g1
259a1,STABLE,23,20,CLZ20,CLZ20,259.a2,259.a2
267b1,STABLE,3790,3766,Zha16_no_2_tors,Zha16_no_2_tors,267.a1,267.a1
286e1,STABLE,3792,3767,Zha16_no_2_tors,Zha16_no_2_tors,286.e1,286.e1
286f1,STABLE,3793,3768,Zha16_no_2_tors,Zha16_no_2_tors,286.f1,286.f1
291a1,STABLE,3794,3769,Zha16_no_2_tors,Zha16_no_2_tors,291.a1,291.a1
291d1,STABLE,3795,3770,Zha16_no_2_tors,Zha16_no_2_tors,291.d1,291.d1
302b1,STABLE,24,21,CLZ20,CLZ20,302.a2,302.a2
318a1,STABLE,3797,3772,Zha16_no_2_tors,Zha16_no_2_tors,318.e1,318.e1
318e1,STABLE,3796,3771,Zha16_no_2_tors,Zha16_no_2_tors,318.b1,318.b1
322c1,STABLE,25,22,CLZ20,CLZ20,322.d2,322.d2
329a1,STABLE,3800,3773,Zha16_no_2_tors,Zha16_no_2_tors,329.a1,329.a1
334a1,STABLE,3801,3774,Zha16_no_2_tors,Zha16_no_2_tors,334.a1,334.a1
339b1,STABLE,3802,3775,Zha16_no_2_tors,Zha16_no_2_tors,339.c1,339.c1
346a1,STABLE,3803,3776,Zha16_no_2_tors,Zha16_no_2_tors,346.b1,346.b1
354a1,STABLE,26,23,CLZ20,CLZ20,354.e1,354.e1
354e1,STABLE,27,24,CLZ20,CLZ20,354.f1,354.f1
358a1,STABLE,3805,3777,Zha16_no_2_tors,Zha16_no_2_tors,358.a1,358.a1
