curve_label,source,lmfdb_label,algorithm1_failure_class,reason,twist_file_generator_commit
14a1,CLZ20,14.a6,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
26a1,Zha16_no_2_tors,26.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
26b1,Zha16_no_2_tors,26.b2,BOTH,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
34a1,CLZ20,34.a4,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
35a1,Zha16_no_2_tors,35.a3,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
38a1,Zha16_no_2_tors,38.a3,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
38b1,Zha16_no_2_tors,38.b2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
66c1,CLZ20,66.c3,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
106a1,Zha16_no_2_tors,106.c2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
110b1,Zha16_no_2_tors,110.c1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
110c1,Zha16_no_2_tors,110.a1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
142d1,Zha16_no_2_tors,142.e2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
170c1,Zha16_no_2_tors,170.e2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
170d1,Zha16_no_2_tors,170.c1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
174b1,Zha16_no_2_tors,174.e2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
182b1,Zha16_no_2_tors,182.d3,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
186b1,Zha16_no_2_tors,186.c2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
203a1,Zha16_no_2_tors,203.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
246b1,Zha16_no_2_tors,246.g2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
286a1,Zha16_no_2_tors,286.a1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
326c1,Zha16_no_2_tors,326.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
355a1,Zha16_no_2_tors,355.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
358b1,Zha16_no_2_tors,358.b1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
366b1,Zha16_no_2_tors,366.f2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
370c1,Zha16_no_2_tors,370.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
426a1,Zha16_no_2_tors,426.c2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
434b1,Zha16_no_2_tors,434.d2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
485a1,Zha16_no_2_tors,485.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
506c1,Zha16_no_2_tors,506.b2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
574j1,Zha16_no_2_tors,574.i2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
606f1,Zha16_no_2_tors,606.f1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
730b1,Zha16_no_2_tors,730.b2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
730k1,Zha16_no_2_tors,730.k2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
786m1,Zha16_no_2_tors,786.m2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
874f1,Zha16_no_2_tors,874.f2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
901c1,Zha16_no_2_tors,901.e2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
934b1,Zha16_no_2_tors,934.b2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
1042c1,Zha16_no_2_tors,1042.b2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
1090h1,Zha16_no_2_tors,1090.f2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
1118a1,Zha16_no_2_tors,1118.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
1230k1,Zha16_no_2_tors,1230.k2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
1254k1,Zha16_no_2_tors,1254.j2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
1342c1,Zha16_no_2_tors,1342.b3,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
1379a1,Zha16_no_2_tors,1379.a1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
1426b1,CLZ20,1426.b4,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
1726b1,Zha16_no_2_tors,1726.b2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
1730a1,Zha16_no_2_tors,1730.a1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
1771c1,Zha16_no_2_tors,1771.c1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
1866i1,Zha16_no_2_tors,1866.i2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
1914o1,Zha16_no_2_tors,1914.o1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
1990d1,Zha16_no_2_tors,1990.c2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
2090m1,Zha16_no_2_tors,2090.o2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
2170f1,Zha16_no_2_tors,2170.e2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
2318e1,Zha16_no_2_tors,2318.d2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
2390a1,Zha16_no_2_tors,2390.a1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
2414c1,Zha16_no_2_tors,2414.e1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
2518c1,Zha16_no_2_tors,2518.c2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
2534i1,Zha16_no_2_tors,2534.g2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
2563b1,Zha16_no_2_tors,2563.c2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
2590c1,Zha16_no_2_tors,2590.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
2710f1,Zha16_no_2_tors,2710.e1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
2726c1,Zha16_no_2_tors,2726.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
2771a1,Zha16_no_2_tors,2771.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
2822a1,Zha16_no_2_tors,2822.b1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
2938c1,Zha16_no_2_tors,2938.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
3094h1,Zha16_no_2_tors,3094.e2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
3190a1,Zha16_no_2_tors,3190.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
3230b1,Zha16_no_2_tors,3230.b2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
3235b1,Zha16_no_2_tors,3235.b1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
3278a1,Zha16_no_2_tors,3278.c1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
3514c1,Zha16_no_2_tors,3514.b2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
3590b1,Zha16_no_2_tors,3590.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
3605c1,Zha16_no_2_tors,3605.c3,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
3962c1,Zha16_no_2_tors,3962.c3,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
4011d1,Zha16_no_2_tors,4011.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
4042a1,Zha16_no_2_tors,4042.a1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
4045a1,Zha16_no_2_tors,4045.a2,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
4066a1,Zha16_no_2_tors,4066.a1,ISOGENY_ONLY,BASE_ADDED_AFTER_TWIST_FILE_LAST_CHANGED,72867942accf94b9513857a2c0bae3895af8e9bc
