cremona_label,status,old_source,old_lmfdb,current_source,current_lmfdb
106a1,removed,Zha16_no_2_tors,106.c2,,
106d1,stable,Zha16_no_2_tors,106.b1,Zha16_no_2_tors,106.b1
110b1,removed,Zha16_no_2_tors,110.c1,,
110c1,removed,Zha16_no_2_tors,110.a1,,
114b1,stable,CLZ20,114.a1,CLZ20,114.a1
115a1,stable,Zha16_no_2_tors,115.a1,Zha16_no_2_tors,115.a1
118c1,stable,Zha16_no_2_tors,118.d1,Zha16_no_2_tors,118.d1
118d1,stable,Zha16_no_2_tors,118.b1,Zha16_no_2_tors,118.b1
141b1,stable,CLZ20,141.b2,CLZ20,141.b2
141e1,stable,Zha16_no_2_tors,141.e1,Zha16_no_2_tors,141.e1
142c1,stable,CLZ20,142.b2,CLZ20,142.b2
142d1,removed,Zha16_no_2_tors,142.e2,,
142e1,removed,Zha16_no_2_tors,142.c1,,
14a1,removed,CLZ20,14.a6,,
26a1,removed,Zha16_no_2_tors,26.a2,,
26b1,removed,Zha16_no_2_tors,26.b2,,
34a1,removed,CLZ20,34.a4,,
35a1,removed,Zha16_no_2_tors,35.a3,,
38a1,removed,Zha16_no_2_tors,38.a3,,
38b1,removed,Zha16_no_2_tors,38.b2,,
46a1,stable,CLZ20,46.a2,CLZ20,46.a2
66c1,removed,CLZ20,66.c3,,
69a1,stable,CLZ20,69.a2,CLZ20,69.a2
77c1,stable,CLZ20,77.c2,CLZ20,77.c2
94a1,stable,CLZ20,94.a2,CLZ20,94.a2
