curve_label,source,conductor,generator_twists,old_source_replayed_twists,current_twists,removed_by_new_gcd,added_by_disc_gate_deletion,hidden_both_blocked,semantic_class
100005b1,Zha16_no_2_tors,100005,3,3,3,0,0,0,UNCHANGED
100018a1,CLZ20,100018,1,1,1,0,0,0,UNCHANGED
100018b1,Zha16_no_2_tors,100018,8,8,8,0,0,0,UNCHANGED
10002b1,Zha16_no_2_tors,10002,6,6,6,0,0,0,UNCHANGED
10002c1,CLZ20,10002,1,1,1,0,0,0,UNCHANGED
10003a1,Zha16_no_2_tors,10003,17,17,17,0,0,0,UNCHANGED
10005n1,Zha16_no_2_tors,10005,3,3,3,0,0,0,UNCHANGED
100095b1,Zha16_no_2_tors,100095,5,5,5,0,0,0,UNCHANGED
100095d1,Zha16_no_2_tors,100095,5,5,5,0,0,0,UNCHANGED
100106a1,Zha16_no_2_tors,100106,16,16,16,0,0,0,UNCHANGED
10010t1,Zha16_no_2_tors,10010,2,2,2,0,0,0,UNCHANGED
100139a1,Zha16_no_2_tors,100139,24,24,14,10,0,0,SHRINK_ONLY
100155a1,Zha16_no_2_tors,100155,7,7,7,0,0,0,UNCHANGED
10015a1,Zha16_no_2_tors,10015,24,24,24,0,0,0,UNCHANGED
100203b1,Zha16_no_2_tors,100203,11,11,11,0,0,0,UNCHANGED
100221c1,CLZ20,100221,1,1,1,0,0,0,UNCHANGED
100226b1,CLZ20,100226,5,5,5,0,0,0,UNCHANGED
100235c1,Zha16_no_2_tors,100235,16,16,11,5,0,0,SHRINK_ONLY
10029a1,Zha16_no_2_tors,10029,20,20,20,0,0,0,UNCHANGED
10029b1,Zha16_no_2_tors,10029,20,20,20,0,0,0,UNCHANGED
10031a1,Zha16_no_2_tors,10031,27,27,20,7,0,0,SHRINK_ONLY
100329a1,Zha16_no_2_tors,100329,7,7,7,0,0,0,UNCHANGED
100330a1,Zha16_no_2_tors,100330,3,3,3,0,0,0,UNCHANGED
100334b1,Zha16_no_2_tors,100334,4,4,4,0,0,0,UNCHANGED
100335a1,Zha16_no_2_tors,100335,5,5,5,0,0,0,UNCHANGED
100342b1,Zha16_no_2_tors,100342,7,7,7,0,0,0,UNCHANGED
100342c1,Zha16_no_2_tors,100342,7,7,7,0,0,0,UNCHANGED
100362b1,Zha16_no_2_tors,100362,3,3,3,0,0,0,UNCHANGED
100362c1,Zha16_no_2_tors,100362,3,3,3,0,0,0,UNCHANGED
100366h1,Zha16_no_2_tors,100366,2,2,2,0,0,0,UNCHANGED
100373a1,CLZ20,100373,1,1,1,0,0,0,UNCHANGED
100374a1,Zha16_no_2_tors,100374,11,11,11,0,0,0,UNCHANGED
100374e1,Zha16_no_2_tors,100374,11,11,11,0,0,0,UNCHANGED
100398a1,Zha16_no_2_tors,100398,2,2,2,0,0,0,UNCHANGED
100398i1,Zha16_no_2_tors,100398,2,2,2,0,0,0,UNCHANGED
100406b1,Zha16_no_2_tors,100406,16,16,12,4,0,0,SHRINK_ONLY
100410b1,Zha16_no_2_tors,100410,3,3,3,0,0,0,UNCHANGED
100426a1,Zha16_no_2_tors,100426,10,10,10,0,0,0,UNCHANGED
100453a1,Zha16_no_2_tors,100453,10,10,10,0,0,0,UNCHANGED
100457b1,Zha16_no_2_tors,100457,10,10,7,3,0,0,SHRINK_ONLY
100470j1,Zha16_no_2_tors,100470,3,3,3,0,0,0,UNCHANGED
100479a1,Zha16_no_2_tors,100479,16,16,16,0,0,0,UNCHANGED
100482a1,CLZ20,100482,1,1,1,0,0,0,UNCHANGED
100562a1,Zha16_no_2_tors,100562,6,6,5,1,0,0,SHRINK_ONLY
100562h1,Zha16_no_2_tors,100562,6,6,5,1,0,0,SHRINK_ONLY
100573a1,Zha16_no_2_tors,100573,7,7,7,0,0,0,UNCHANGED
10058b1,Zha16_no_2_tors,10058,7,7,6,1,0,0,SHRINK_ONLY
100595d1,Zha16_no_2_tors,100595,5,5,3,2,0,0,SHRINK_ONLY
1005a1,CLZ20,1005,1,1,1,0,0,0,UNCHANGED
100605b1,Zha16_no_2_tors,100605,3,3,3,0,0,0,UNCHANGED
100630a1,Zha16_no_2_tors,100630,5,5,5,0,0,0,UNCHANGED
100630b1,Zha16_no_2_tors,100630,5,5,5,0,0,0,UNCHANGED
100630d1,Zha16_no_2_tors,100630,3,3,3,0,0,0,UNCHANGED
100630k1,Zha16_no_2_tors,100630,6,6,6,0,0,0,UNCHANGED
100631a1,CLZ20,100631,1,1,1,0,0,0,UNCHANGED
100645a1,CLZ20,100645,1,1,1,0,0,0,UNCHANGED
100654a1,Zha16_no_2_tors,100654,8,8,8,0,0,0,UNCHANGED
100662h1,Zha16_no_2_tors,100662,3,3,3,0,0,0,UNCHANGED
100682a1,Zha16_no_2_tors,100682,15,15,15,0,0,0,UNCHANGED
100685a1,Zha16_no_2_tors,100685,5,5,5,0,0,0,UNCHANGED
100685b1,Zha16_no_2_tors,100685,5,5,5,0,0,0,UNCHANGED
100687a1,Zha16_no_2_tors,100687,19,19,19,0,0,0,UNCHANGED
1006b1,CLZ20,1006,1,1,1,0,0,0,UNCHANGED
100707a1,Zha16_no_2_tors,100707,18,18,18,0,0,0,UNCHANGED
100707b1,Zha16_no_2_tors,100707,17,17,17,0,0,0,UNCHANGED
100707c1,Zha16_no_2_tors,100707,17,17,17,0,0,0,UNCHANGED
100707d1,Zha16_no_2_tors,100707,17,17,17,0,0,0,UNCHANGED
100714c1,Zha16_no_2_tors,100714,6,6,6,0,0,0,UNCHANGED
100717b1,Zha16_no_2_tors,100717,4,4,4,0,0,0,UNCHANGED
100717c1,CLZ20,100717,1,1,1,0,0,0,UNCHANGED
100722a1,CLZ20,100722,1,1,1,0,0,0,UNCHANGED
100730b1,Zha16_no_2_tors,100730,5,5,4,1,0,0,SHRINK_ONLY
100749a1,Zha16_no_2_tors,100749,2,2,2,0,0,0,UNCHANGED
100749b1,Zha16_no_2_tors,100749,1,1,1,0,0,0,UNCHANGED
100779b1,Zha16_no_2_tors,100779,6,6,6,0,0,0,UNCHANGED
100806d1,Zha16_no_2_tors,100806,3,3,3,0,0,0,UNCHANGED
100822b1,Zha16_no_2_tors,100822,13,13,13,0,0,0,UNCHANGED
10083a1,Zha16_no_2_tors,10083,15,15,15,0,0,0,UNCHANGED
100849a1,Zha16_no_2_tors,100849,29,29,19,10,0,0,SHRINK_ONLY
100862a1,Zha16_no_2_tors,100862,3,3,2,1,0,0,SHRINK_ONLY
100862c1,Zha16_no_2_tors,100862,3,3,2,1,0,0,SHRINK_ONLY
100878i1,Zha16_no_2_tors,100878,1,1,1,0,0,0,UNCHANGED
