N,M_grid,edge_cap_S_N,min_simple_fraction,min_simple_percent
4,24,3.68562957987316,0.7018283569219945,70.18283569219945
4,24,3.5,0.7065235380203788,70.65235380203788
4,24,3.0,0.7249436729947779,72.49436729947779
4,24,2.5,0.7484715747985358,74.84715747985358
4,24,2.0,0.7719994766022935,77.19994766022936
4,24,1.5,0.7955273784060515,79.55273784060515
4,24,1.25,0.8072913293079302,80.72913293079303
4,24,1.0,0.8190552802098092,81.90552802098092
5,20,4.371899119788246,0.7004600811607676,70.04600811607676
5,20,3.0,0.7410102249601511,74.1010224960151
5,20,2.0,0.7824599934028134,78.24599934028133
5,20,1.5,0.8032227418110927,80.32227418110926
5,20,1.0,0.824794938778959,82.4794938778959
6,18,5.012076789059384,0.7009660143362452,70.09660143362451
6,18,3.0,0.7556721257660285,75.56721257660286
6,18,2.0,0.7965014948343778,79.65014948343779
6,18,1.5,0.8169231447001448,81.69231447001448
6,18,1.0,0.8373447945659119,83.73447945659119
