N,M_grid,max_observed_row_j,support_proxy_j_over_N,min_simple_fraction,min_simple_percent
4,24,3,0.75,0.7018283569219945,70.18283569219945
4,24,4,1.0,0.8190552802098087,81.90552802098087
4,24,5,1.25,0.8884676722185461,88.8467672218546
4,24,6,1.5,0.9246119400535041,92.46119400535041
5,20,4,0.8,0.7004600811607676,70.04600811607676
5,20,5,1.0,0.8247949387789577,82.47949387789578
5,20,6,1.2,0.864530710720469,86.45307107204691
5,20,7,1.4,0.9207727053853623,92.07727053853623
6,18,5,0.8333333333333334,0.7009660143362452,70.09660143362451
6,18,6,1.0,0.8373447945659119,83.73447945659119
6,18,7,1.1666666666666667,0.8867905400265768,88.67905400265768
6,18,8,1.3333333333333333,0.8969683158161552,89.69683158161553
