N,j,alpha,dual_yj,rescaled_r_sample_N_times_yj
4,1,0.25,-0.42763734,-1.71054936
4,2,0.5,-0.25119857,-1.00479428
4,3,0.75,-0.09234705,-0.3693882
5,1,0.2,-0.36580959,-1.82904795
5,2,0.4,-0.2574894,-1.2874469999999998
5,3,0.6,-0.14683673,-0.73418365
5,4,0.8,-0.05441964,-0.2720982
6,1,0.16666666666666666,-0.31655948,-1.89935688
6,2,0.3333333333333333,-0.24560989,-1.47365934
6,3,0.5,-0.16751177,-1.0050706200000001
6,4,0.6666666666666666,-0.09459117,-0.56754702
6,5,0.8333333333333334,-0.03554264,-0.21325584
7,1,0.14285714285714285,-0.27755603,-1.9428922100000001
7,2,0.2857142857142857,-0.22763744,-1.59346208
7,3,0.42857142857142855,-0.17147025,-1.2002917499999999
7,4,0.5714285714285714,-0.11493485,-0.80454395
7,5,0.7142857142857143,-0.06490505,-0.45433535
7,6,0.8571428571428571,-0.02448142,-0.17136994
