sigma,q_simple_lower,m_one_delta,K00
0.55,-0.0005769623339308971,1.000576962333931,0.9994233703596522
0.5909090909090909,0.11188867605481267,0.8881113239451873,1.1259849672423705
0.6318181818181818,0.2080889325487174,0.7919110674512826,1.262768057047667
0.6727272727272727,0.2910002175168569,0.7089997824831431,1.410437668256655
0.7136363636363636,0.3629171399444391,0.6370828600555609,1.5696545342826969
0.7545454545454545,0.42563735613461784,0.5743626438653822,1.741060305158665
0.7954545454545454,0.4805893813540798,0.5194106186459202,1.9252590611392473
0.8363636363636364,0.5289228935359371,0.47107710646406287,2.1227947320685328
0.8772727272727272,0.5715737726932156,0.42842622730678437,2.3341241414800855
0.9181818181818182,0.6093117556345384,0.3906882443654615,2.559585588821992
0.959090909090909,0.6427758968163894,0.35722410318361064,2.799363175910913
1.0,0.6725013273619593,0.32749867263804067,3.053447490168071
1.0416666666666667,0.6994158744818976,0.30058412551810243,3.3268556623752104
1.0833333333333333,0.7234056397247841,0.27659436027521594,3.6154027110494353
1.125,0.7448726417297706,0.25512735827022937,3.9196110004823788
1.1666666666666667,0.7641507177695144,0.23584928223048565,4.239995943777101
1.2083333333333333,0.7815195719336996,0.2184804280663004,4.577069025590423
1.25,0.7972147830069545,0.2027852169930455,4.931325936023704
1.2916666666666665,0.811436842081526,0.18856315791847403,5.303262901612804
1.3333333333333333,0.8243567249370283,0.1756432750629717,5.693357742512371
1.375,0.8361216231724788,0.16387837682752115,6.102086311560681
1.4166666666666665,0.8468584661055192,0.15314153389448087,6.529907168678552
1.4583333333333333,0.8566774548558179,0.14332254514418205,6.97726934024234
1.5,0.865675065832511,0.134324934167489,7.444634208814171
1.5416666666666665,0.8739348542764589,0.12606514572354113,7.9324066478532
1.5833333333333333,0.8815312602664459,0.11846873973355411,8.441045310763682
1.625,0.8885293179376454,0.11147068206235454,8.970968702251408
1.6666666666666665,0.8949863122304396,0.10501368776956042,9.522568164584188
1.7083333333333333,0.9009540863008489,0.09904591369915108,10.096327679276797
1.75,0.9064771899646362,0.09352281003536377,10.692578629982036
1.7916666666666665,0.9115971614238225,0.08840283857617746,11.311853964262603
1.8333333333333333,0.9163492670490547,0.08365073295094531,11.954467877602731
1.875,0.9207665119419683,0.07923348805803165,12.62092613249068
1.9166666666666665,0.9248775393342326,0.07512246066576748,13.311598037891342
1.9583333333333333,0.928708891182001,0.07129110881799901,14.02699462218952
2.0,0.9322832039954128,0.06771679600458724,14.767385035940837
2.125,0.9416709631978037,0.0583290368021963,17.144119889912982
2.25,0.9493991506412506,0.05060084935874944,19.76251412125929
2.375,0.9558201916586211,0.044179808341378926,22.63477451674224
2.5,0.9611980114319641,0.03880198856803582,25.77187502250276
2.625,0.9657381044142981,0.03426189558570192,29.186943188786007
2.75,0.9695960261065866,0.030403973893413476,32.8904373982716
2.875,0.9728956206598294,0.02710437934017063,36.894406894531926
3.0,0.9757343120764421,0.024265687923557887,41.21045334260517
3.125,0.9781890013460764,0.02181099865392356,45.84842793615555
3.25,0.9803253681529652,0.019674631847034826,50.82687227769959
3.375,0.9821907303045863,0.017809269695413788,56.150533800805896
3.5,0.9838261168255481,0.0161738831744519,61.82807116967369
3.625,0.9852688121648902,0.014731187835109898,67.88318845657702
3.75,0.9865453078466464,0.013454692153353614,74.32351395351306
3.875,0.9876779100090165,0.01232208999098351,81.1550638513218
4.0,0.9886852254949683,0.0113147745050317,88.38002026070411
4.125,0.9895884761757102,0.010411523824289781,96.04741984713411
4.25,0.9903968686626714,0.0096031313373286,104.13270056120882
4.375,0.991122048790236,0.008877951209763939,112.63860054786103
4.5,0.9917794034136134,0.008220596586386646,121.64567248756686
4.625,0.992371652950613,0.007628347049386979,131.08999807243444
4.75,0.9929085493711116,0.007091450628888374,141.01487161545055
4.875,0.99339629860625,0.0066037013937499875,151.43022683406625
5.0,0.9938379225826819,0.006162077417318112,162.2829335427637
